CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,euro_income,age,years_employed,pay_danger
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,39780.0,51,8,94.0
1,1,0,2,State servant,Higher education,Married,House / apartment,1,1,0,4,35100.0,43,20,90.0
1,0,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,29250.0,51,10,86.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,23400.0,62,0,85.0
1,1,0,0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,40950.0,37,1,81.0
1,0,1,1,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,2,76050.0,28,2,81.0
1,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,3,8775.0,51,11,80.0
1,0,1,1,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,2,76050.0,28,2,77.0
1,1,1,0,Working,Lower secondary,Married,House / apartment,0,1,0,2,17550.0,44,1,75.0
1,1,0,0,Pensioner,Higher education,Married,House / apartment,1,1,0,2,40950.0,37,1,74.0
1,1,0,0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,40950.0,37,1,74.0
0,1,1,2,Commercial associate,Higher education,Married,House / apartment,1,1,0,4,58500.0,48,11,73.0
0,1,1,0,Working,Higher education,Single / not married,House / apartment,1,0,0,1,16380.0,39,2,70.0
0,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,38025.0,30,9,68.0
1,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,2,23400.0,51,5,66.0
0,1,1,2,Commercial associate,Higher education,Married,House / apartment,1,1,0,4,58500.0,48,11,66.0
1,0,1,0,Working,Lower secondary,Single / not married,Rented apartment,0,0,0,2,11700.0,32,13,65.0
0,1,1,0,Working,Higher education,Single / not married,House / apartment,1,0,0,1,16380.0,39,2,65.0
1,0,0,2,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,4,29250.0,39,13,65.0
0,1,0,1,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,17550.0,26,2,63.0
0,1,0,0,Working,Secondary / secondary special,Married,With parents,0,0,0,2,26325.0,37,3,62.0
0,1,0,0,Working,Secondary / secondary special,Married,With parents,0,0,0,2,26325.0,37,3,62.0
1,1,0,0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,40950.0,37,1,61.0
0,0,0,1,Pensioner,Higher education,Married,With parents,0,0,1,3,61425.0,24,2,61.0
0,0,0,0,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,0,1,22230.0,31,0,59.0
1,1,1,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,11700.0,51,2,57.0
0,0,1,0,Pensioner,Higher education,Separated,House / apartment,0,0,0,1,12870.0,67,0,55.0
1,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,23400.0,60,0,55.0
1,0,1,2,Working,Higher education,Married,House / apartment,0,1,0,4,29250.0,37,15,55.0
1,1,0,0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,40950.0,37,1,55.0
0,1,0,1,Working,Higher education,Married,House / apartment,0,1,1,3,58500.0,26,1,55.0
0,1,0,1,Working,Higher education,Married,House / apartment,0,1,1,3,58500.0,26,1,55.0
0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,32175.0,47,1,54.0
0,1,0,0,Working,Secondary / secondary special,Married,With parents,0,0,0,2,26325.0,37,3,52.0
1,0,1,0,Pensioner,Higher education,Separated,House / apartment,0,0,0,1,12870.0,67,0,51.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,2,14625.0,59,0,51.0
0,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,3,52650.0,40,3,51.0
1,0,1,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,3,20475.0,42,6,50.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,39780.0,51,8,50.0
0,1,0,1,Working,Higher education,Married,House / apartment,0,1,1,3,58500.0,26,1,50.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,15795.0,51,22,49.0
1,0,0,0,Working,Secondary / secondary special,Widow,Co-op apartment,0,0,0,1,17550.0,54,1,48.0
1,0,1,0,Commercial associate,Higher education,Married,House / apartment,0,1,1,2,20475.0,33,3,48.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,13455.0,28,1,46.0
1,0,1,0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,1,16380.0,51,6,45.0
1,0,1,0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,1,16380.0,51,6,45.0
0,1,1,0,Working,Higher education,Married,House / apartment,0,0,0,2,38025.0,57,2,45.0
0,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2,27963.0,52,3,44.0
1,1,0,1,Working,Secondary / secondary special,Married,House / apartment,1,0,0,3,17550.0,43,1,41.0
1,0,1,1,Working,Incomplete higher,Married,Municipal apartment,1,1,0,3,23400.0,29,0,41.0
1,1,0,0,Commercial associate,Higher education,Married,House / apartment,1,1,0,2,40950.0,37,1,41.0
0,1,0,0,Working,Secondary / secondary special,Married,Office apartment,0,0,0,2,14040.0,47,2,40.0
0,1,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,23400.0,44,1,40.0
1,1,0,1,Working,Higher education,Married,Rented apartment,0,0,0,3,26325.0,26,7,40.0
1,0,1,1,Working,Incomplete higher,Married,House / apartment,0,1,0,3,26325.0,29,3,40.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,39780.0,51,8,40.0
1,1,1,0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2,70200.0,43,0,40.0
1,0,1,3,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,5,8775.0,45,1,39.0
1,0,1,0,Pensioner,Higher education,Married,House / apartment,0,1,1,2,20475.0,33,3,39.0
1,1,1,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,11700.0,51,2,37.0
1,0,1,0,Pensioner,Higher education,Separated,House / apartment,0,0,0,1,12870.0,67,0,37.0
0,0,1,0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,35100.0,46,0,37.0
1,0,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,87750.0,42,2,37.0
1,0,1,0,Pensioner,Lower secondary,Separated,House / apartment,0,0,0,1,9945.0,58,0,36.0
1,1,1,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,11700.0,51,2,36.0
1,0,1,0,Pensioner,Higher education,Separated,House / apartment,0,0,0,1,12870.0,67,0,36.0
1,0,1,0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,39780.0,59,0,36.0
1,0,1,1,Working,Incomplete higher,Married,House / apartment,0,1,0,3,26325.0,29,3,35.0
1,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,20475.0,52,4,34.0
1,0,1,1,State servant,Higher education,Married,House / apartment,0,0,0,3,20475.0,42,11,31.0
0,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,2,29250.0,40,3,31.0
0,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,35100.0,46,0,31.0
1,0,1,1,Commercial associate,Higher education,Married,House / apartment,0,0,1,3,8775.0,24,4,30.0
1,0,0,0,Working,Higher education,Single / not married,House / apartment,0,0,0,1,17550.0,29,6,30.0
0,0,0,1,State servant,Secondary / secondary special,Married,Municipal apartment,0,0,0,3,11115.0,41,18,29.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,19305.0,57,0,29.0
0,1,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,27495.0,41,20,29.0
1,1,1,0,Commercial associate,Higher education,Married,House / apartment,1,0,0,2,33345.0,30,4,29.0
0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,40950.0,32,0,29.0
1,1,1,0,State servant,Higher education,Married,House / apartment,0,0,0,2,35100.0,44,22,28.0
0,0,0,1,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,20475.0,44,3,27.0
0,0,0,1,Working,Secondary / secondary special,Married,House / apartment,0,0,0,1,20475.0,44,3,27.0
1,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,21060.0,58,0,27.0
0,0,0,0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,1,11700.0,27,0,26.0
0,0,1,3,Working,Secondary / secondary special,Married,House / apartment,0,0,0,5,11700.0,34,4,26.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,13455.0,28,1,26.0
0,1,1,0,Commercial associate,Higher education,Separated,House / apartment,1,1,0,1,58500.0,44,2,26.0
1,1,1,0,Working,Lower secondary,Married,House / apartment,0,1,0,2,17550.0,44,1,25.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,23400.0,62,0,25.0
0,1,1,0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,23400.0,51,0,25.0
0,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,23400.0,35,9,25.0
1,1,0,0,Working,Higher education,Married,House / apartment,1,1,0,2,29250.0,55,6,25.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,39780.0,51,8,25.0
0,1,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,3,58500.0,49,1,25.0
0,1,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1,58500.0,49,1,25.0
0,1,0,1,Working,Secondary / secondary special,Separated,Co-op apartment,1,0,0,2,14625.0,32,3,24.0
0,0,0,1,Working,Incomplete higher,Married,Rented apartment,1,1,0,3,16965.0,31,4,24.0
1,1,1,1,Working,Higher education,Separated,House / apartment,0,1,0,2,35100.0,38,0,24.0
1,1,0,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,9360.0,41,0,23.0
0,0,0,0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,1,11700.0,27,0,22.0
1,0,1,0,State servant,Incomplete higher,Married,House / apartment,0,0,0,2,16380.0,48,4,22.0
1,0,1,1,State servant,Higher education,Married,House / apartment,0,0,0,3,20475.0,42,11,22.0
0,0,1,1,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,20475.0,42,6,22.0
0,0,1,1,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,20475.0,42,6,22.0
1,0,1,4,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,6,23400.0,47,20,22.0
1,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,13455.0,62,0,21.0
1,1,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,17550.0,37,7,21.0
1,0,1,0,Working,Lower secondary,Widow,House / apartment,1,1,0,1,23400.0,46,6,21.0
1,1,1,0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,1,29250.0,54,4,20.0
1,0,1,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,29250.0,63,0,20.0
1,1,0,1,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,3,35100.0,33,5,20.0
1,0,0,0,Working,Secondary / secondary special,Widow,Co-op apartment,0,0,0,1,17550.0,54,1,19.0
0,0,0,0,Working,Higher education,Single / not married,House / apartment,0,0,0,1,26325.0,35,11,19.0
0,1,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,40950.0,47,6,19.0
0,1,1,2,Commercial associate,Incomplete higher,Married,House / apartment,0,0,0,4,46800.0,34,5,19.0
1,1,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,17550.0,63,0,18.0
1,0,0,0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,2,35100.0,55,3,18.0
1,1,1,1,State servant,Higher education,Married,House / apartment,0,0,0,3,40950.0,38,0,18.0
0,1,0,0,State servant,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,14625.0,55,4,17.0
1,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,17550.0,57,35,17.0
1,0,1,0,State servant,Secondary / secondary special,Widow,House / apartment,0,0,0,1,11700.0,48,11,16.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,17550.0,55,4,16.0
0,1,1,1,Commercial associate,Higher education,Married,House / apartment,0,0,1,3,23400.0,41,4,16.0
1,1,0,0,Working,Higher education,Married,House / apartment,1,0,1,2,23400.0,40,4,16.0
1,0,1,0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,1,8775.0,51,1,15.0
1,0,1,0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,1,8775.0,51,1,15.0
1,0,0,0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,1,8775.0,51,1,15.0
0,1,1,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,11700.0,32,4,15.0
0,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,2,11700.0,51,4,15.0
1,1,1,0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2,17550.0,49,25,15.0
0,1,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,17550.0,29,0,15.0
1,0,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,17550.0,54,19,15.0
1,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,13455.0,60,0,14.0
0,1,1,1,Working,Higher education,Married,House / apartment,0,0,0,3,17550.0,51,17,14.0
1,0,1,0,Working,Secondary / secondary special,Widow,House / apartment,0,1,0,1,17550.0,39,2,14.0
0,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,20475.0,50,19,14.0
0,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,20475.0,50,19,14.0
0,0,1,0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,1,35100.0,49,4,14.0
0,0,0,0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,70200.0,54,1,14.0
1,1,0,2,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,4,8775.0,31,3,13.0
1,0,1,0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,2,9945.0,51,18,13.0
1,1,1,1,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,17550.0,29,1,13.0
1,1,0,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2,20475.0,33,5,13.0
0,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,20475.0,42,3,13.0
0,1,0,0,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,1,1,0,1,23400.0,26,3,13.0
0,0,0,1,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,23400.0,35,0,13.0
0,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,3,29250.0,35,2,13.0
0,0,0,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,1,50895.0,25,1,13.0
1,1,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,9945.0,65,0,12.0
1,0,0,0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,1,11700.0,64,0,12.0
1,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,3,14625.0,29,5,12.0
1,0,0,0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0,0,0,2,14625.0,58,0,12.0
0,0,0,1,Working,Incomplete higher,Married,Rented apartment,1,1,0,3,16965.0,31,4,12.0
1,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,3,17550.0,38,1,12.0
1,1,0,2,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,4,21060.0,26,2,12.0
0,1,1,0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,23400.0,34,7,12.0
0,0,0,0,Working,Higher education,Married,House / apartment,0,0,0,2,23400.0,41,2,12.0
1,1,1,0,Commercial associate,Higher education,Civil marriage,House / apartment,1,1,0,2,29250.0,32,0,12.0
1,0,0,0,Working,Higher education,Separated,House / apartment,0,1,0,1,32175.0,51,4,12.0
0,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,9945.0,60,0,11.0
1,0,1,1,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,3,14625.0,49,25,11.0
1,1,1,2,Working,Secondary / secondary special,Married,House / apartment,0,1,0,4,17550.0,37,6,11.0
0,1,1,1,Working,Higher education,Single / not married,House / apartment,0,0,0,3,17550.0,51,17,11.0
1,0,0,1,Working,Incomplete higher,Married,With parents,0,0,0,3,23400.0,27,7,11.0
1,0,0,1,Working,Incomplete higher,Married,With parents,0,0,0,3,23400.0,27,7,11.0
1,1,0,0,Working,Higher education,Married,House / apartment,1,0,0,2,23400.0,40,4,11.0
1,0,0,0,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,1,0,1,35100.0,34,5,11.0
0,0,0,1,Working,Secondary / secondary special,Married,House / apartment,1,0,0,3,35100.0,27,1,11.0
1,0,0,0,Pensioner,Lower secondary,Married,House / apartment,0,1,0,2,8775.0,62,0,10.0
0,1,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,9360.0,42,0,10.0
0,0,1,0,Pensioner,Lower secondary,Married,House / apartment,0,0,0,2,9477.0,64,0,10.0
1,0,1,0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,2,9945.0,51,18,10.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,13455.0,28,1,10.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,14625.0,59,0,10.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,14625.0,59,0,10.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,15795.0,56,0,10.0
0,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,17550.0,62,0,10.0
0,1,0,1,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,17550.0,26,2,10.0
0,0,1,1,Working,Higher education,Married,House / apartment,0,0,0,3,17550.0,36,10,10.0
1,0,1,1,State servant,Higher education,Married,House / apartment,0,0,0,3,20475.0,42,11,10.0
1,1,1,0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,1,20475.0,42,4,10.0
0,0,1,0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,0,2,20475.0,48,2,10.0
0,1,0,0,Working,Incomplete higher,Married,With parents,1,0,0,2,20475.0,24,2,10.0
1,0,1,2,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,4,23400.0,42,1,10.0
1,0,0,1,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,2,23400.0,29,3,10.0
1,1,1,0,Working,Higher education,Married,House / apartment,0,0,1,2,26325.0,39,2,10.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,26325.0,39,9,10.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,26325.0,39,9,10.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,26325.0,39,9,10.0
0,1,1,0,Working,Higher education,Married,House / apartment,0,0,0,2,26325.0,48,8,10.0
1,0,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,26325.0,39,9,10.0
1,0,1,0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,26325.0,39,9,10.0
1,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,29250.0,33,3,10.0
1,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,29250.0,33,3,10.0
1,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,29250.0,33,3,10.0
1,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,29250.0,33,3,10.0
1,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,29250.0,33,3,10.0
0,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,2,29250.0,38,6,10.0
0,0,1,0,Commercial associate,Incomplete higher,Single / not married,House / apartment,0,0,1,1,35100.0,31,0,10.0
0,0,0,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,1,50895.0,25,1,10.0
0,0,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,10530.0,65,0,9.0
1,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,14625.0,65,0,9.0
1,0,0,0,Commercial associate,Higher education,Separated,House / apartment,0,1,1,1,17550.0,32,13,9.0
0,0,0,0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0,0,0,2,17550.0,63,0,9.0
0,1,0,0,Working,Incomplete higher,Married,With parents,1,0,0,2,20475.0,24,2,9.0
0,1,0,0,Working,Incomplete higher,Single / not married,With parents,1,0,0,2,20475.0,24,2,9.0
1,0,0,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,23400.0,31,6,9.0
1,0,0,0,Working,Secondary / secondary special,Single / not married,With parents,1,1,0,1,23400.0,36,10,9.0
1,1,0,0,Working,Higher education,Married,House / apartment,1,0,1,2,23400.0,40,4,9.0
1,1,1,0,Working,Higher education,Married,House / apartment,0,1,0,2,29250.0,47,8,9.0
1,1,1,0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,2,33345.0,30,4,9.0
1,0,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1,35100.0,32,5,9.0
1,0,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1,35100.0,32,5,9.0
0,0,1,0,Commercial associate,Incomplete higher,Single / not married,House / apartment,0,0,1,1,35100.0,31,0,9.0
0,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,3,38025.0,44,3,9.0
0,1,0,2,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,4,40950.0,42,7,9.0
1,1,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,7312.5,65,0,8.0
1,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,8775.0,41,5,8.0
1,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,8775.0,41,5,8.0
1,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,8775.0,41,5,8.0
1,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,3,11700.0,50,0,8.0
1,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,3,11700.0,50,0,8.0
1,0,1,3,Working,Secondary / secondary special,Married,House / apartment,1,1,0,5,11700.0,32,7,8.0
0,1,1,0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,14625.0,47,3,8.0
1,0,0,1,Working,Secondary / secondary special,Married,House / apartment,1,0,0,3,14625.0,27,1,8.0
0,0,1,0,State servant,Higher education,Married,House / apartment,0,1,0,2,17550.0,52,7,8.0
1,0,1,0,Commercial associate,Incomplete higher,Married,House / apartment,0,0,1,2,19890.0,25,2,8.0
1,0,0,0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,19890.0,42,2,8.0
1,1,0,2,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,4,21060.0,26,2,8.0
1,0,1,2,Working,Lower secondary,Married,House / apartment,0,0,1,4,26325.0,36,14,8.0
1,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,26325.0,50,19,8.0
0,1,1,0,Working,Higher education,Married,House / apartment,0,0,0,2,26325.0,48,8,8.0
1,0,1,0,Working,Higher education,Married,House / apartment,0,1,0,2,28021.5,28,2,8.0
1,0,0,1,State servant,Higher education,Civil marriage,House / apartment,0,1,0,3,29250.0,30,4,8.0
1,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2,29250.0,42,10,8.0
0,0,0,0,Commercial associate,Secondary / secondary special,Married,Rented apartment,0,0,1,2,32175.0,52,4,8.0
1,1,1,0,Commercial associate,Higher education,Single / not married,Office apartment,0,0,1,1,36270.0,27,7,8.0
1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,40950.0,42,10,8.0
1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,40950.0,42,10,8.0
0,1,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,2,59670.0,43,0,8.0
1,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,10530.0,56,0,7.0
1,0,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,10530.0,65,0,7.0
0,1,1,0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2,11700.0,35,0,7.0
0,0,0,0,Working,Secondary / secondary special,Widow,Municipal apartment,1,1,0,1,11700.0,54,9,7.0
1,0,1,0,Pensioner,Higher education,Separated,House / apartment,0,0,0,1,12870.0,67,0,7.0
